Source_X(m),Source_Y(m),Source_Z(m),Delta_X(m),Delta_Y(m),Delta_Z(m),w_x(m/s),w_y(m/s),w_z(m/s),T(ºC),Phi_línea_recta(º),Phi_real(º),Delta_Phi(º),Theta_línea_recta(º),Theta_real(º),Delta_Theta(º),Error_Relativo(%)
2766.00621973229,799.6565317977867,6273.567285159599,686.1714973400922,2953.3231718550514,1340.857501961149,13.038205578566235,8.775484365939256,15.304583295700716,11.0,79.01528713275673,79.09859774408686,0.08331061133013407,66.14320649305375,68.64001771754356,2.4968112244898037,0.1513303210053083
3442.439430352019,6042.162890270382,1470.2970174276109,-2701.23922470454,-572.8575664607779,465.3955321209046,-4.799608683176855,-2.039404255947403,-14.211917546184685,21.0,-168.1996124851819,-168.20148934613198,-0.001876860950090986,80.43320493781675,78.58212075414329,-1.8510841836734642,0.045456795748416205
4274.99487284849,2025.9990606225674,2809.891913742724,-432.67934200413174,3338.155817337337,1290.1551442976606,10.219823224386833,7.717820172323396,-1.497728361244448,31.0,99.4077780377571,99.41504298679918,0.0072649490420815255,69.02911244320045,69.21565581054739,0.18654336734694255,0.069399896707069
8363.83366766726,7018.723528144093,4829.715156911582,-1675.212070107662,-6984.445060383465,4806.292594440875,0.16301316281635536,8.418588860652306,6.700207743470202,15.0,-103.10392241886032,-103.12509510785311,-0.021172688992791677,56.21099335446927,60.09970508916315,3.888711734693885,0.07664826140382858
4910.486336506412,5869.6612929403445,8429.003488740387,1353.046781109797,3100.3262916878584,-4930.00432885999,11.076408129688847,15.019415527862364,19.686285050931353,14.0,67.90883320750666,67.79921999713744,-0.10961321036921845,145.54409522403915,151.02560032608,5.481505102040842,0.14797925895045627
2755.9621758383723,2431.533474807145,9187.263124232115,-2475.20815174234,-669.134219832629,-6424.274905901719,-9.031300557416703,19.007495493338332,-19.32790222841406,-7.0,-154.8521379053754,-154.95363597186366,-0.10149806648826143,158.24205483835232,157.9981135118217,-0.24394132653060296,0.07454970683076348
3916.9995563560046,8199.551517417412,1933.4902743781313,5867.323189993407,-1805.725225892781,3708.0635116405183,14.139945263074956,0.2545298643888074,18.53277136523233,17.0,-17.985382280920447,-18.077898565248557,-0.09251628432810932,58.86688626682072,61.937677083147264,3.070790816326543,0.13984169536853341
5630.576459365915,4398.7120278180955,8085.579975233859,-3027.342410830838,243.11903206747138,-3623.972817567006,-17.009006207173556,13.604304565523414,3.777619609089111,35.0,178.8786305874156,178.8461097199038,-0.03252086751180627,140.03513795890655,143.49336499972287,3.4582270408163254,0.04736764088425757
3037.6686082957417,5260.307076655722,3723.1277716827617,-1695.4362049166261,3205.4544225059226,3776.5048741120254,-9.0027411052233,-8.280423876336016,0.3314117401652048,19.0,114.89555626511115,114.80801715128484,-0.08753911382630974,43.83694933061624,45.30059728979991,1.4636479591836675,0.14760706426504683
8575.326586787689,318.3576901082397,562.3903399652053,-6317.379385651794,7183.573635587995,1.5009459609204896,-12.821920052831754,-5.04235172264719,13.950046425065693,8.0,129.10544604765744,129.07653615660976,-0.028909891047675274,89.9910102780495,94.79808935968214,4.8070790816326365,0.05399218040204497
9948.135454389381,4392.394745190698,4551.120297540534,-8700.43001919777,1229.6207645552477,-2710.9863752889705,-6.22315133437144,-17.84411704234821,18.66687952705609,10.0,168.49518323814956,168.436424169245,-0.05875906890457827,107.14636713234604,112.7426681527542,5.596301020408163,0.14667740479759292
5806.999306820774,8908.111152877855,475.5994029694799,-1868.1880976302218,-4015.878828269613,701.6973264407987,-5.4483555598161,-16.404347998162226,0.5761158353039484,5.0,-115.29469298502481,-115.31581476140373,-0.02112177637891932,80.99762539683385,81.70075039683387,0.7031250000000142,0.07338892631280383
9641.001701251647,5198.653437954582,663.8346126486994,-8273.483176275182,-5162.466423443569,1753.1709913029645,-7.591467102964447,13.683188353111184,14.388445750076045,35.0,-145.43371553590217,-145.4615795098092,-0.027863973907045647,79.80848836234925,84.47207254602273,4.663584183673478,0.07528640349147413
8243.921980781332,7324.18898702373,4877.313016831639,-7929.322765543823,-482.55297090990916,1859.6398819857586,-5.059801621133101,8.72309677458004,-15.431380664276023,-7.0,-174.77310293971385,-174.80589165415483,-0.03278871444098286,76.82465951577784,76.20763145455334,-0.6170280612245023,0.07517606608064059
5560.4246799321445,4566.466667678448,4964.401706105381,-1892.3686591879596,-911.617299134426,3046.7505154620885,-0.27206368065514397,-18.88816976220509,-9.593069297009041,-18.0,-160.34524733132227,-160.47609796109953,-0.1308506297772567,34.58328955067063,32.94744771393594,-1.6358418367346914,0.14327781943946122
9439.85080314044,7227.525729550393,2938.982568902664,-2705.614838414559,2494.3758729158717,2545.1112589973472,5.123109559809336,5.402384397091442,19.247884668296123,-14.0,138.94842776624102,138.95910828430934,0.010680518068312495,55.331884954924895,59.38561582227184,4.0537308673469425,0.03645560750169677
